med_name,med_code,image_url,price,dosage_form,active_ingredient,unit,stock_quantity,is_active
Tinh chất dưỡng sáng da Garnier Skin Naturals Bright Complete 30x Vitamin C Booster Serum,MED-00877,https://trungtamthuoc.com/images/products/130x130/garnier-bright-complete-30x-vitamin-c-2-d1055.jpg,138917,Serum,"Adenosine, Glycerol (Glycerin), Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin C (Acid Ascorbic), Resorcinol, Lecithin, Alcohol, Phenoxyethanol, Xanthan Gum",chai,119,true
Dung dịch Melano CC Whitening Lotion,MED-00878,https://trungtamthuoc.com/images/products/130x130/melano-cc-whitening-lotion-2-b0033.jpg,207551,Dung dịch,"Glycerol (Glycerin), Menthol, Vitamin C (Acid Ascorbic), Citric Acid, Alcohol, Phenoxyethanol, Dimethicone (Polydimethylsiloxanes), Xanthan Gum",lọ,190,true
Phấn Thơm Pigeon Baby Powder 200g,MED-00879,https://trungtamthuoc.com/images/products/130x130/phan-thom-pigeon-baby-powder-200g-1-k4078.jpg,188092,Bột,Kẽm Oxyd (Zinc Oxide),chai,123,true
LeoPovidone Solution,MED-00880,https://trungtamthuoc.com/images/products/130x130/thuoc-leopovidone-solution-2-u8308.jpg,262822,Dung dịch sát trùng ngoài da,Povidone iodine,hộp,104,true
Kem tẩy tế bào chết Sắc Ngọc Khang dành cho da mặt,MED-00881,https://trungtamthuoc.com/images/products/130x130/tay-te-bao-chet-sac-ngoc-khang-2-v8466.jpg,233387,Kem,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol), Cetyl Alcohol, Phenoxyethanol, Cetearyl Alcohol",tuýp,26,true
Phấn Rôm Sảy Pigeon Baby Powder Prickly Heat 200g,MED-00882,https://trungtamthuoc.com/images/products/130x130/phan-rom-say-pigeon-prickly-heat-200g-1-p6601.jpg,253875,Bột,"Kẽm Oxyd (Zinc Oxide), Bisabolol (Levomenol)",chai,27,true
Urgo Eczekalm,MED-00883,https://trungtamthuoc.com/images/products/130x130/urgo-eczekalm-u8832.jpg,265208,Gel,"Glycerol (Glycerin), Natri Hyaluronate, Vitamin E (Alpha Tocopherol), Lecithin, Citric Acid, Dimethicone (Polydimethylsiloxanes), Xanthan Gum",hộp,80,true
Tẩy tế bào da chết cà phê cám gạo Milaganics,MED-00884,https://trungtamthuoc.com/images/products/130x130/tay-te-bao-chet-ca-phe-cam-gao-milaganics-1-n5546.jpg,278115,Kem,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol), Nước, Cetearyl Alcohol",hộp,37,true
Hyalo4 Plus 25g,MED-00885,https://trungtamthuoc.com/images/products/130x130/kem-hyalo4-plus-tuyp-25g-1-j3317.jpg,254403,Kem bôi da,"Bạc Sulfadiazin, Acid hyaluronic",tuýp,15,true
Hyalo4 Silver Spray (Chai 50ml),MED-00886,https://trungtamthuoc.com/images/products/130x130/hyalo4-silver-spray-2-d1766.jpg,194641,Dung dịch xịt dạng hỗn dịch dùng ngoài da,"Alpha-Terpineol, Natri Hyaluronate, Vitamin E (Alpha Tocopherol), Bạc",hộp,73,true
Kem tẩy tế bào da chết Felina BODY SCRUB CREAM,MED-00887,https://trungtamthuoc.com/images/products/130x130/felina-body-scrub-cream-coffee-2-u8118.jpg,241735,Kem,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol), Cetyl Alcohol, Acid Stearic",hộp,107,true
Tẩy tế bào chết tràm trà LUCKY STAR MELALEUCA BODY SCRUB,MED-00888,https://trungtamthuoc.com/images/products/130x130/luckystar-melaleuca-body-scrub-2-p6585.jpg,101100,Kem,"Glycerol (Glycerin), Natri Clorid, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin E (Alpha Tocopherol), Allantoin",hộp,145,true
Muối tắm Felina SALT GLOW LAVENDER,MED-00889,https://trungtamthuoc.com/images/products/130x130/felina-salt-glow-lavender-2-t7878.jpg,175925,Muối tắm,"Glycerol (Glycerin), Natri Clorid, Allantoin",hộp,85,true
Dầu mù u Bidopharma 10ml,MED-00890,https://trungtamthuoc.com/images/products/130x130/dau-mu-u-bidopharma-10ml-1-v8344.jpg,269980,dạng dầu,Vitamin E (Alpha Tocopherol),hộp,62,true
Sữa Tắm Gội Thảo Dược Ích Nhi,MED-00891,https://trungtamthuoc.com/images/products/130x130/sua-tam-goi-thao-duoc-ich-nhi-2-d1153.jpg,149473,Sữa tắm,"Betaine, Natri Clorid, Acid Lactic, Phenoxyethanol, Whey protein",hộp,190,true
New Collagen Black Garlic Jelly,MED-00892,https://trungtamthuoc.com/images/products/130x130/new-collagen-black-garlic-jelly-7-e1336.jpg,264614,Thạch,"Collagen, Vitamin C (Acid Ascorbic), Citric Acid, FOS (Fructose Oligosaccharide), Xanthan Gum",hộp,70,true
Hana Colla Q10 Collagen Jpanwell,MED-00893,https://trungtamthuoc.com/images/products/130x130/hana-colla-q10-collagen-jpanwell-6-f2563.jpg,178503,Dung dịch uống,"Coenzym Q10 (Ubidecarenone), Collagen, Glucosamine, Vitamin C (Acid Ascorbic)",hộp,184,true
Serum Balance Active Formula AHA + BHA,MED-00894,https://trungtamthuoc.com/images/products/130x130/serum-balance-active-formula-aha-bha-2-i3760.jpg,122209,Serum,"Acid Glycolic (AHA), Acid Salicylic (BHA), Allantoin, Phenoxyethanol, Natri Hydroxyd, Xanthan Gum",hộp,171,true
82X Shiharu Placenta,MED-00895,https://trungtamthuoc.com/images/products/130x130/82x-shiharu-placenta-4-d1412.jpg,298610,Dung dịch uống,"Coenzym Q10 (Ubidecarenone), Retinol (Vitamin A), Vitamin D (Alfacalcidol), Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), Acid hyaluronic",hộp,67,true
Dầu tắm em bé Cung Đình,MED-00896,https://trungtamthuoc.com/images/products/130x130/dau-tam-em-be-cung-dinh-10-o5776.jpg,140568,Dung dịch dầu tắm,,hộp,22,true
82X Shiharu Collagen,MED-00897,https://trungtamthuoc.com/images/products/130x130/82x-shiharu-collagen-1-u8803.jpg,276373,Dung dịch uống,"Coenzym Q10 (Ubidecarenone), Collagen, Retinol (Vitamin A), Vitamin D (Alfacalcidol), Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), Elastin, Acid hyaluronic",hộp,82,true
L-Cystin B6 Mediphar USA,MED-00898,https://trungtamthuoc.com/images/products/130x130/l-cystin-b6-1-a0433.jpg,209430,Viên nang mềm,"Vitamin B6 (Pyridoxine hydrochloride), Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), L-Cystine",hộp,30,true
Seedcoms Vitamin E,MED-00899,https://trungtamthuoc.com/images/products/130x130/seedcoms-vitamin-e-1-g2267.jpg,235492,Viên nang mềm,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol)",hộp,18,true
Nucos NMN,MED-00900,https://trungtamthuoc.com/images/products/130x130/nucos-nmn-1-l4357.jpg,161440,Viên nang cứng,"Coenzym Q10 (Ubidecarenone), Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Acid hyaluronic, Nicotinamide mononucleotide (NMN)",hộp,141,true
Nucos Collagen 7000,MED-00901,https://trungtamthuoc.com/images/products/130x130/nucos-collagen-7000-1-k4718.jpg,247606,Dung dịch uống,"Collagen, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B1 (Thiamine), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Calcium Pantothenate (Calcium D - Pantothenate)",hộp,182,true
Collagen Vita Jelly Citron,MED-00902,https://trungtamthuoc.com/images/products/130x130/collagen-vita-jelly-citron-7-c1203.jpg,226989,Thạch,"Acid Folic (Vitamin B9), Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Retinol (Vitamin A), Vitamin B1 (Thiamine), Vitamin B12 (Cyanocobalamin, Mecobalamin), Vitamin B2 (Riboflavin), Acid Pantothenic (Vitamin B5), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Vitamin D3 (Cholecalciferol, Calcitriol), Vitamin E (Alpha Tocopherol)",hộp,25,true
Kinohimitsu Collagen Diamond (Hộp 3 chai),MED-00903,https://trungtamthuoc.com/images/products/130x130/kinohimitsu-collagen-diamond-7-f2376.jpg,274326,Dung dịch uống,"Collagen, Isoflavone, Vitamin C (Acid Ascorbic), Fructose, Protein, Citric Acid",hộp,50,true
Kem bôi Dizigone Fuginex Cream,MED-00904,https://trungtamthuoc.com/images/products/130x130/dizigone-fuginex-2-u8244.jpg,219921,Kem bôi da,"Acid Salicylic (BHA), Allantoin, Climbazole, Piroctone Olamine",hộp,22,true
Seedcoms Coenzym Q10,MED-00905,https://trungtamthuoc.com/images/products/130x130/seedcoms-coenzyme-q10-1-g2578.jpg,194701,Viên nang,"Coenzym Q10 (Ubidecarenone), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol)",hộp,64,true
Sữa tắm Colifami,MED-00906,https://trungtamthuoc.com/images/products/130x130/sua-tam-colifami-4-i3843.jpg,205763,Dung dịch,"Natri Clorid, Vitamin E (Alpha Tocopherol)",chai,140,true
Spring Leaf Evening Primrose Oil 1000mg,MED-00907,https://trungtamthuoc.com/images/products/130x130/spring-leaf-evening-primrose-oil-1000mg-2-h3861.jpg,255194,Viên nang mềm,,hộp,192,true
Nucos Super White,MED-00908,https://trungtamthuoc.com/images/products/130x130/nucos-super-white-1-s7374.jpg,219815,Dung dịch,"Coenzym Q10 (Ubidecarenone), Collagen, Glutathione, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), L-Cystine, Lycopene, Astaxanthin",hộp,38,true
Seedcoms Cica,MED-00909,https://trungtamthuoc.com/images/products/130x130/seedcoms-cica-1-m5560.jpg,151493,Viên nang,"Vitamin C (Acid Ascorbic), Ceramide",hộp,121,true
Glutathion JV,MED-00910,https://trungtamthuoc.com/images/products/130x130/glutathion-jv-1-h2041.jpg,274874,Viên nang mềm,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Glutathione, Vitamin E (Alpha Tocopherol), L-Cystine, Astaxanthin, Acid hyaluronic",hộp,115,true
Viên Sữa Ong Chúa Collagen Royal Jelly,MED-00911,https://trungtamthuoc.com/images/products/130x130/vien-sua-ong-chua-collagen-royal-jelly-13-e1637.jpg,155328,Viên nang mềm,"Collagen, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin E (Alpha Tocopherol), Lysine",hộp,10,true
Double White,MED-00912,https://trungtamthuoc.com/images/products/130x130/double-white-1-e1552.jpg,196400,Viên nang,"Vitamin C (Acid Ascorbic), Cysteine, L-Glutamine, Glycin (Acid Aminoacetic)",hộp,40,true
Collagenix Beauty Shot,MED-00913,https://trungtamthuoc.com/images/products/130x130/collagenix-beauty-shot-4-q6545.jpg,164381,Dung dịch uống,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Kẽm, Retinol (Vitamin A), Vitamin B2 (Riboflavin), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Vitamin B10 (PABA; Axit para-aminobenzoic)",hộp,122,true
Vadena Skin Solution,MED-00914,https://trungtamthuoc.com/images/products/130x130/vadena-skin-solution-1-a0881.jpg,272516,Viên nang cứng,"Acetylcystein, Acid Alpha Lipoic (ALA; Acid Thioctic), Collagen, Vitamin C (Acid Ascorbic), L-Cystine, Acid Glutamic",hộp,169,true
Xịt nano bạc Skinkey,MED-00915,https://trungtamthuoc.com/images/products/130x130/xit-nano-bac-skinkey-1-d1771.jpg,195212,dung dịch,"Dexpanthenol, Nano Bạc",hộp,197,true
Premium Sheep Placenta Complex,MED-00916,https://trungtamthuoc.com/images/products/130x130/premium-sheep-placenta-complex-1-b0411.jpg,296063,Viên nang mềm,"Coenzym Q10 (Ubidecarenone), Glycerol (Glycerin), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Nước, Lecithin",hộp,48,true
Nucos white (Hộp 60 viên),MED-00917,https://trungtamthuoc.com/images/products/130x130/nucos-white-1-m5720.jpg,228388,Viên nén,"Vitamin C (Acid Ascorbic), Cysteine",hộp,120,true
Nucos cells up collagen,MED-00918,https://trungtamthuoc.com/images/products/130x130/nucos-cells-up-collagen-1-g2320.jpg,255429,Viên nén,"Coenzym Q10 (Ubidecarenone), Collagen, Elastin",hộp,84,true
Alfe White Program (10 chai x 50ml),MED-00919,https://trungtamthuoc.com/images/products/130x130/alfe-white-program-1-b0554.jpg,250569,Dung dịch uống,,hộp,101,true
Alfe Deep Essence (10 Chai x 50ml),MED-00920,https://trungtamthuoc.com/images/products/130x130/alfe-deep-essence-1-q6888.jpg,110242,Dung dịch uống,"Collagen, Sắt, Vitamin B2 (Riboflavin), Vitamin B6 (Pyridoxine hydrochloride), Acid hyaluronic",hộp,35,true
Natural White Premium Orihiro,MED-00921,https://trungtamthuoc.com/images/products/130x130/natural-white-premium-orihiro-1-q6611.jpg,175970,Viên nén,"Acid Folic (Vitamin B9), Vitamin B1 (Thiamine), Acid Pantothenic (Vitamin B5), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), L-Cystine, Acid hyaluronic",hộp,64,true
Kem dưỡng A-Derma​​​​​​​ Dermalibour​​​​​​​​​​​​​​+ Repairing CICA-Cream,MED-00922,https://trungtamthuoc.com/images/products/130x130/a-derma-dermalibour-repairing-cica-cream-3-m5377.jpg,157649,Kem bôi ngoài da,"Glycerol (Glycerin), Magnesium Sulfate, Kẽm Oxyd (Zinc Oxide)",hộp,122,true
Nucos Spa 10000mg,MED-00923,https://trungtamthuoc.com/images/products/130x130/nucos-spa-10000mg-2-m5544.jpg,127088,Dung dịch uống,"Coenzym Q10 (Ubidecarenone), Collagen, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Elastin, Beta-carotene, Lycopene, Acid hyaluronic",hộp,195,true
Maxizorb E,MED-00924,https://trungtamthuoc.com/images/products/130x130/maxizorb-e-1-c1868.jpg,264765,Viên nang mềm,Vitamin E (Alpha Tocopherol),hộp,26,true
Beyou Lux Blanc EX,MED-00925,https://trungtamthuoc.com/images/products/130x130/beyou-lux-blanc-ex-1-s7322.jpg,228820,Dung dịch,"Collagen, Vitamin C (Acid Ascorbic), Elastin, Acid hyaluronic",hộp,10,true
Beyou Royal Placenta Premium,MED-00926,https://trungtamthuoc.com/images/products/130x130/beyou-royal-placenta-premium-1-e1771.jpg,161747,Viên nang cứng,"Kẽm, Vitamin B2 (Riboflavin), Vitamin E (Alpha Tocopherol), Acid hyaluronic",hộp,74,true
Grandpawpaw Pawpaw Ointment,MED-00927,https://trungtamthuoc.com/images/products/130x130/grandpawpaw-pawpaw-ointment-1-c0648.jpg,105778,Kem bôi da,Lanolin,tuýp,38,true
Beyou Royal Collagen,MED-00928,https://trungtamthuoc.com/images/products/130x130/beyou-royal-collagen-1-o5455.jpg,295117,Viên nén,"Collagen, Vitamin C (Acid Ascorbic), Elastin",hộp,70,true
Gel giữ ấm cơ thể Clinxy Gold,MED-00929,https://trungtamthuoc.com/images/products/130x130/gel-giu-am-co-the-clinxy-gold-1-e1826.jpg,268350,Gel bôi da,Eucalyptol (Cineol),tuýp,62,true
Xịt rôm sảy Shema Baby,MED-00930,https://trungtamthuoc.com/images/products/130x130/xit-rom-say-shema-baby-1-s7116.jpg,111318,Dung dịch xịt,"Glycerol (Glycerin), Nước, Enoxolone (Glycyrrhetinic Acid)",hộp,83,true
Hanvely Nature White Diary,MED-00931,https://trungtamthuoc.com/images/products/130x130/hanvely-nature-white-diary-1-k4258.jpg,216665,Viên nang mềm,"Glutathione, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin C (Acid Ascorbic), Kẽm Oxyd (Zinc Oxide), Acid hyaluronic",hộp,179,true
Gel tắm gội trẻ em DottorPrimo Baby Sweet Bath,MED-00932,https://trungtamthuoc.com/images/products/130x130/dottorprimo-baby-sweet-bath-2-a0145.jpg,141494,Gel,"Betaine, Glycerol (Glycerin), Natri , Citric Acid, Whey protein",hộp,71,true
Kem Dưỡng Ẩm Skinavir,MED-00933,https://trungtamthuoc.com/images/products/130x130/kem-duong-am-skinavir-1-s7744.jpg,168754,Kem,"Glycerol (Glycerin), Simethicone, Vitamin E (Alpha Tocopherol), Cetyl Alcohol, Nước, Acid Lactic, Cetearyl Alcohol",hộp,187,true
Dầu Mù U Thái Dương Đất Việt 10ml,MED-00934,https://trungtamthuoc.com/images/products/130x130/dau-mu-u-thai-duong-10ml-1-q6181.jpg,129893,Dung dịch bôi ngoài,,hộp,50,true
Astaria,MED-00935,https://trungtamthuoc.com/images/products/130x130/astaria-1-k4715.jpg,211193,Viên nang,Astaxanthin,hộp,186,true
Gel Nghệ Nano NeoCurma,MED-00936,https://trungtamthuoc.com/images/products/130x130/neocurma-2-j3366.jpg,271658,Gel,"Glycerol (Glycerin), Nano Curcumin, Phenoxyethanol",tuýp,156,true
Alltimes Care Whitening Skin,MED-00937,https://trungtamthuoc.com/images/products/130x130/alltimes-care-whitening-skin-1-i3671.jpg,253269,Viên nang,"Collagen, L-Glutathione",hộp,10,true
Nước uống Collagen Schon,MED-00938,https://trungtamthuoc.com/images/products/130x130/collagen-schon-2-p6048.jpg,272958,Dung dịch,Collagen,hộp,161,true
Bio-Marine Collagen Plus,MED-00939,https://trungtamthuoc.com/images/products/130x130/bio-marine-collagen-plus-1-t7838.jpg,292711,Viên nang,Collagen,hộp,168,true
Nature’s Way Adult Vita Gummies Hair Skin Nails,MED-00940,https://trungtamthuoc.com/images/products/130x130/adult-vita-gummies-hair-skin-nails-3-b0174.jpg,290790,Viên nhai,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Kẽm, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol)",hộp,108,true
Voost Collagen Formation Strawberry,MED-00941,https://trungtamthuoc.com/images/products/130x130/voost-collagen-formation-strawberry-1-e1247.jpg,170881,Viên sủi bọt,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Vitamin C (Acid Ascorbic), Natri",hộp,147,true
Beauty Collagen Premium Doppelherz,MED-00942,https://trungtamthuoc.com/images/products/130x130/beauty-collagen-premium-doppelherz-1-h2037.jpg,246005,Dung dịch uống,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Kẽm, Vitamin E (Alpha Tocopherol), Beta-carotene, Đồng Gluconate",hộp,104,true
Royal AUSNZ Collagen Peptide Powder,MED-00943,https://trungtamthuoc.com/images/products/130x130/royal-ausnz-collagen-peptide-powder-1-e1118.jpg,258485,dạng bột,"Collagen, Natri Hyaluronate, Vitamin C (Acid Ascorbic)",hộp,124,true
Viên uống Shiseido The Collagen,MED-00944,https://trungtamthuoc.com/images/products/130x130/the-collagen-shiseido-dang-vien-2-k4144.jpg,298664,Viên nén,"Collagen, Vitamin C (Acid Ascorbic), Ceramide, Gamma-Aminobutyric Acid (GABA), Protein, L-Ornithine, Carbohydrate, Acid hyaluronic",hộp,98,true
Nước uống Astalift Drink Pure Collagen 10000,MED-00945,https://trungtamthuoc.com/images/products/130x130/astalift-drink-pure-collagen-10000-2-j4882.jpg,288264,Dung dịch uống,"Collagen, Vitamin C (Acid Ascorbic), Ceramide, L-Ornithine",hộp,189,true
Super Marine Collagen,MED-00946,https://trungtamthuoc.com/images/products/130x130/super-marine-collagen-1-e1826.jpg,226654,Viên nang,"Collagen, Vitamin C (Acid Ascorbic), Amino Acid ( Axit Amin)",hộp,88,true
E đỏ Medi,MED-00947,https://trungtamthuoc.com/images/products/130x130/e-do-medi-2-f2178.jpg,245440,viên nang,Vitamin E (Alpha Tocopherol),hộp,114,true
Nước Uống Làm Đẹp ADIVA,MED-00948,https://trungtamthuoc.com/images/products/130x130/adiva-5-s7306.jpg,168984,Dung dịch uống,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Coenzym Q10 (Ubidecarenone), Collagen, Kẽm, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B12 (Cyanocobalamin, Mecobalamin), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Vitamin D3 (Cholecalciferol, Calcitriol), Magie, Acid hyaluronic",hộp,101,true
Kem trị nứt đầu ti Multi Mam Balsam,MED-00949,https://trungtamthuoc.com/images/products/130x130/multi-mam-balsam-o5183.jpg,240080,Kem bôi,"Lanolin, Allantoin",hộp,13,true
Bio Island Collagen + Grape Seed Extract,MED-00950,https://trungtamthuoc.com/images/products/130x130/bio-island-collagen-grape-seed-extract-1-o6703.jpg,144312,Viên nang,Collagen,hộp,176,true
Costar Placentra Gold Plus 50000,MED-00951,https://trungtamthuoc.com/images/products/130x130/costar-placentra-gold-plus-7-f2588.jpg,284744,Viên nang,,hộp,146,true
Nursing Butter Palmer’s,MED-00952,https://trungtamthuoc.com/images/products/130x130/nursing-butter-n5476.jpg,120940,Kem bôi,"Lanolin, Acid Pantothenic (Vitamin B5)",hộp,152,true
Pigeon Nipple Care Cream,MED-00953,https://trungtamthuoc.com/images/products/130x130/pigeon-nipple-care-cream-e1536.jpg,164820,Kem bôi,Lanolin,tuýp,122,true
Organic Nipple Butter,MED-00954,https://trungtamthuoc.com/images/products/130x130/organic-nipple-butter-k4452.jpg,284907,Kem bôi,,hộp,151,true
Rebirth Life Platinum Marine Collagen,MED-00955,https://trungtamthuoc.com/images/products/130x130/rebirth-life-platinum-marine-collagen-1-f2846.jpg,197306,Viên nang,"Coenzym Q10 (Ubidecarenone), Collagen, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol)",hộp,123,true
Kem trị nứt đầu ti Medela Purelan,MED-00956,https://trungtamthuoc.com/images/products/130x130/kem-tri-nut-dau-ty-medela-purelan-b0587.jpg,251416,Kem bôi,Lanolin,hộp,118,true
Baby Sheep Essence 33000Max,MED-00957,https://trungtamthuoc.com/images/products/130x130/baby-sheep-essence-2-i3741.jpg,120356,viên nang,,hộp,120,true
Nature's Way Beauty Collagen Gummies,MED-00958,https://trungtamthuoc.com/images/products/130x130/beauty-collagen-gummies-4-q6102.jpg,168956,Kẹo dẻo,Collagen,hộp,123,true
Methotrexate PharMaland 2.5mg,MED-00959,https://trungtamthuoc.com/images/products/130x130/pharmaland-methotrexate-2-5mg-2-p6327.jpg,259486,Viên nén,Methotrexate,hộp,145,true
Beauty Collagen Liquid,MED-00960,https://trungtamthuoc.com/images/products/130x130/beauty-collagen-liquid-13-q6703.jpg,277169,Dung dịch,"Collagen, Vitamin E (Alpha Tocopherol)",hộp,77,true
Bio-Marine Collagen Capsules 2000Max,MED-00961,https://trungtamthuoc.com/images/products/130x130/bio-marine-collagen-capsules-2000max-2-b0677.jpg,167604,Viên nang,"Collagen, Vitamin C (Acid Ascorbic), Zinc Gluconate (Kẽm Gluconat)",hộp,103,true
Nano Curcumin Agimexpharm,MED-00962,https://trungtamthuoc.com/images/products/130x130/nano-curcumin-agimexpharm-1-o5070.jpg,100661,Viên nang cứng,Nano Curcumin,hộp,96,true
Healift Skin Ointment 10g,MED-00963,https://trungtamthuoc.com/images/products/130x130/healit-skin-ointment-10g-1-d1633.jpg,273329,Thuốc mỡ bôi da,"Lidocain, Neomycin, Polymyxin B, Bacitracin",tuýp,100,true
Arica Folicus Cream,MED-00964,https://trungtamthuoc.com/images/products/130x130/arica-folicus-2-c1201.jpg,113375,Kem bôi ngoài da,"Acid Salicylic (BHA), Adapalene, Dexpanthenol, Vaseline, Allantoin, Phenoxyethanol, Dimethicone (Polydimethylsiloxanes), Acid Stearic, Lactobacillus fermentum",hộp,43,true
The Collagen EXR (Dạng nước),MED-00965,https://trungtamthuoc.com/images/products/130x130/the-collagen-exr-7-n5007.jpg,185757,Dung dịch,"Collagen, Vitamin B2 (Riboflavin), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Ceramide, Natri , Carbohydrate, Acid hyaluronic",hộp,112,true
Gel bôi ngoài da Hebay 15g,MED-00966,https://trungtamthuoc.com/images/products/130x130/gel-boi-ngoai-da-hebay-15g-1-e1812.jpg,267426,Gel,"Dexpanthenol, Nano Bạc",hộp,43,true
Xanh Methylen 1% HDPHARMA 20ml,MED-00967,https://trungtamthuoc.com/images/products/130x130/thuoc-xanh-methylen-1-hdpharma-20ml-1-r7754.jpg,286458,Dung dịch dùng ngoài,Xanh Methylen,chai,123,true
Salitason,MED-00968,https://trungtamthuoc.com/images/products/130x130/salitason-1-g2640.jpg,125.000₫,Thuốc mỡ bôi da,"Acid Salicylic (BHA), Mometasone",hộp,133,true
Clobetsonate Atco 15g,MED-00969,https://trungtamthuoc.com/images/products/130x130/clobetsonate-2-m4445.jpg,270492,Thuốc mỡ,Clobetasol Propionat,hộp,186,true
Neocell Collagen Pomegranate Liquid 473ml,MED-00970,https://trungtamthuoc.com/images/products/130x130/neocell-collagen-pomegranate-liquid-1-b0216.jpg,138979,Dung dịch uống,Collagen,chai,75,true
Medskin Baby,MED-00971,https://trungtamthuoc.com/images/products/130x130/medskin-baby-2-u8738.jpg,158914,Kem,"Ethanol, Vitamin E (Alpha Tocopherol), Kẽm Oxyd (Zinc Oxide), Perfume, Bisabolol (Levomenol)",hộp,117,true
Vakker Ren Hud,MED-00972,https://trungtamthuoc.com/images/products/130x130/vakker-ren-hud-1-b0658.jpg,247231,Viên nang,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Kẽm, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin C (Acid Ascorbic), Selen, Acid hyaluronic",hộp,86,true
Pro Sun White,MED-00973,https://trungtamthuoc.com/images/products/130x130/pro-sun-white-1-u8883.jpg,178027,Viên nang cứng,"L-Glutathione, Beta-carotene",hộp,56,true
Gel vệ sinh phụ nữ VIEVA DKB CARE Tinh chất Aloe Vera 120ml,MED-00974,https://trungtamthuoc.com/images/products/130x130/gel-ve-sinh-phu-nu-vieva-dkb-care-tinh-chat-aloe-vera-120ml-1-k4556.jpg,35.000₫,Gel,"Glycerol (Glycerin), Natri Clorid, Vitamin E (Alpha Tocopherol), Nước, Acid Lactic, Allantoin, Nano Bạc , Kẽm Sulfate",hộp,195,true
NMN 21600 Premium Jpanwell,MED-00975,https://trungtamthuoc.com/images/products/130x130/nmn-21600-premium-jpanwell-1-t7387.jpg,289103,Viên nang cứng,"Coenzym Q10 (Ubidecarenone), Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B1 (Thiamine), Vitamin B12 (Cyanocobalamin, Mecobalamin), Vitamin B2 (Riboflavin), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), L-Arginine, Ceramide, Bifidobacterium, Fucoidan, Astaxanthin, Resveratrol, Nicotinamide mononucleotide (NMN)",hộp,151,true
MyTret Gel 0.025%,MED-00976,https://trungtamthuoc.com/images/products/130x130/mytret-gel-0-025-21-b0342.jpg,173618,Kem,Tretinoin,hộp,124,true
Aipenxin Ointment,MED-00977,https://trungtamthuoc.com/images/products/130x130/aipenxin-ointment-b0673.jpg,125.000₫,Thuốc mỡ bôi ngoài da,Mupirocin,hộp,27,true
La Roche-Posay Mela B3 Serum,MED-00978,https://trungtamthuoc.com/images/products/130x130/la-roche-posay-mela-b3-serum-1-c0736.jpg,1.050.000₫,Serum,"Glycerol (Glycerin), Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Acid hyaluronic",hộp,135,true
Canasone C.B.,MED-00979,https://trungtamthuoc.com/images/products/130x130/canasone-c-b-i3672.jpg,230924,Kem bôi,"Betamethason, Clotrimazol",hộp,103,true
